Item Name,Category,Taste & Recipe Notes,Quantity,Avalability
Prawn Tempura,Snacks & Starters (Non-Veg),Coastal style,17,Available
Fish Fingers,Snacks & Starters (Non-Veg),Rich gravy,4,Available
Chicken Wings,Snacks & Starters (Non-Veg),Tender & juicy,18,Available
Chicken Wings,Snacks & Starters (Non-Veg),Tender & juicy,21,Available
Chicken Tikka,Snacks & Starters (Non-Veg),Tender & juicy,25,Available
Dal Makhani,Main Course (Veg),Tangy & flavorful,18,Available
Chole Bhature,Main Course (Veg),Rich & creamy,30,Available
Chole Bhature,Main Course (Veg),Tangy & flavorful,15,Available
Paneer Butter Masala,Main Course (Veg),Light & healthy,26,Available
Dal Makhani,Main Course (Veg),Traditional Indian taste,20,Available
Veg Biryani,Main Course (Veg),Light & healthy,20,Available
Paneer Butter Masala,Main Course (Veg),Traditional Indian taste,12,Available
Dal Makhani,Main Course (Veg),Rich & creamy,2,Available
Paneer Butter Masala,Main Course (Veg),Mildly spiced,0,Out of Stock
Chole Bhature,Main Course (Veg),Rich & creamy,14,Available
Veg Biryani,Main Course (Veg),Rich & creamy,17,Available
Veg Biryani,Main Course (Veg),Light & healthy,18,Available
Kadai Mushroom,Main Course (Veg),Traditional Indian taste,16,Available
Dal Makhani,Main Course (Veg),Mildly spiced,17,Available
Veg Biryani,Main Course (Veg),Traditional Indian taste,6,Available
Paneer Butter Masala,Main Course (Veg),Rich & creamy,30,Available
Chole Bhature,Main Course (Veg),Rich & creamy,0,Out of Stock
Dal Makhani,Main Course (Veg),Rich & creamy,28,Available
Chole Bhature,Main Course (Veg),Rich & creamy,0,Out of Stock
Dal Makhani,Main Course (Veg),Tangy & flavorful,12,Available
Paneer Butter Masala,Main Course (Veg),Light & healthy,12,Available
Kadai Mushroom,Main Course (Veg),Mildly spiced,8,Available
Chole Bhature,Main Course (Veg),Mildly spiced,18,Available
Dal Makhani,Main Course (Veg),Mildly spiced,30,Available
Veg Biryani,Main Course (Veg),Rich & creamy,24,Available
Prawn Masala,Main Course (Non-Veg),Coastal style,30,Available
Prawn Masala,Main Course (Non-Veg),Coastal style,9,Available
Fish Curry,Main Course (Non-Veg),Tender & juicy,25,Available
Chicken Biryani,Main Course (Non-Veg),Rich gravy,15,Available
Prawn Masala,Main Course (Non-Veg),Tender & juicy,2,Available
Fish Curry,Main Course (Non-Veg),Rich gravy,20,Available
Fish Curry,Main Course (Non-Veg),Classic Mughlai flavor,3,Available
Chicken Biryani,Main Course (Non-Veg),Spicy & smoky,20,Available
Chicken Butter Masala,Main Course (Non-Veg),Classic Mughlai flavor,18,Available
Mutton Rogan Josh,Main Course (Non-Veg),Coastal style,3,Available
Chicken Butter Masala,Main Course (Non-Veg),Rich gravy,6,Available
Fish Curry,Main Course (Non-Veg),Spicy & smoky,9,Available
Chicken Butter Masala,Main Course (Non-Veg),Coastal style,7,Available
Fish Curry,Main Course (Non-Veg),Coastal style,10,Available
Chicken Biryani,Main Course (Non-Veg),Spicy & smoky,21,Available
Fish Curry,Main Course (Non-Veg),Tender & juicy,8,Available
Fish Curry,Main Course (Non-Veg),Tender & juicy,9,Available
Chicken Biryani,Main Course (Non-Veg),Tender & juicy,4,Available
Chicken Butter Masala,Main Course (Non-Veg),Spicy & smoky,25,Available
Fish Curry,Main Course (Non-Veg),Tender & juicy,20,Available
Mutton Rogan Josh,Main Course (Non-Veg),Classic Mughlai flavor,23,Available
Mutton Rogan Josh,Main Course (Non-Veg),Tender & juicy,28,Available
Chicken Butter Masala,Main Course (Non-Veg),Tender & juicy,30,Available
Mutton Rogan Josh,Main Course (Non-Veg),Tender & juicy,25,Available
Chicken Butter Masala,Main Course (Non-Veg),Classic Mughlai flavor,6,Available
Jeera Rice,Rice & Biryani,Delicious & flavorful,29,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,27,Available
Mutton Biryani,Rice & Biryani,Delicious & flavorful,6,Available
Veg Pulao,Rice & Biryani,Delicious & flavorful,18,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,20,Available
Mutton Biryani,Rice & Biryani,Delicious & flavorful,29,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,13,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,4,Available
Veg Pulao,Rice & Biryani,Delicious & flavorful,4,Available
Mutton Biryani,Rice & Biryani,Delicious & flavorful,3,Available
Veg Pulao,Rice & Biryani,Delicious & flavorful,30,Available
Jeera Rice,Rice & Biryani,Delicious & flavorful,30,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,17,Available
Mutton Biryani,Rice & Biryani,Delicious & flavorful,22,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,8,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,22,Available
Veg Pulao,Rice & Biryani,Delicious & flavorful,28,Available
Jeera Rice,Rice & Biryani,Delicious & flavorful,1,Available
Veg Pulao,Rice & Biryani,Delicious & flavorful,3,Available
Mutton Biryani,Rice & Biryani,Delicious & flavorful,25,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,11,Available
Paneer Pulao,Rice & Biryani,Delicious & flavorful,7,Available
Jeera Rice,Rice & Biryani,Delicious & flavorful,28,Available
Jeera Rice,Rice & Biryani,Delicious & flavorful,5,Available
Jeera Rice,Rice & Biryani,Delicious & flavorful,4,Available
Tandoori Roti,Breads & Rotis,Garlicky flavor,24,Available
Lachha Paratha,Breads & Rotis,Crispy layers,12,Available
Butter Naan,Breads & Rotis,Buttery taste,10,Available
Missi Roti,Breads & Rotis,Crispy layers,8,Available
Missi Roti,Breads & Rotis,Buttery taste,2,Available
Missi Roti,Breads & Rotis,Crispy layers,1,Available
Lachha Paratha,Breads & Rotis,Traditional style,2,Available
Tandoori Roti,Breads & Rotis,Garlicky flavor,3,Available
Lachha Paratha,Breads & Rotis,Traditional style,14,Available
Lachha Paratha,Breads & Rotis,Crispy layers,7,Available
Tandoori Roti,Breads & Rotis,Buttery taste,26,Available
Butter Naan,Breads & Rotis,Buttery taste,22,Available
Lachha Paratha,Breads & Rotis,Buttery taste,30,Available
Garlic Naan,Breads & Rotis,Soft & fluffy,25,Available
Lachha Paratha,Breads & Rotis,Crispy layers,16,Available
Lachha Paratha,Breads & Rotis,Crispy layers,27,Available
Tandoori Roti,Breads & Rotis,Buttery taste,14,Available
Tandoori Roti,Breads & Rotis,Crispy layers,8,Available
Tandoori Roti,Breads & Rotis,Crispy layers,11,Available
Tandoori Roti,Breads & Rotis,Garlicky flavor,26,Available
Tandoori Roti,Breads & Rotis,Garlicky flavor,4,Available
Lachha Paratha,Breads & Rotis,Buttery taste,8,Available
Butter Naan,Breads & Rotis,Traditional style,11,Available
Garlic Naan,Breads & Rotis,Garlicky flavor,12,Available
Tandoori Roti,Breads & Rotis,Garlicky flavor,11,Available
Mango Shake,Beverages,Spiced & aromatic,24,Available
Masala Chai,Beverages,Refreshing,16,Available
Masala Chai,Beverages,Spiced & aromatic,15,Available
Masala Chai,Beverages,Refreshing,26,Available
Lassi,Beverages,Spiced & aromatic,10,Available
Masala Chai,Beverages,Spiced & aromatic,20,Available
Fresh Lime Soda,Beverages,Cool & fizzy,6,Available
Lassi,Beverages,Refreshing,27,Available
Cold Coffee,Beverages,Cool & fizzy,28,Available
Cold Coffee,Beverages,Spiced & aromatic,17,Available
Masala Chai,Beverages,Refreshing,17,Available
Fresh Lime Soda,Beverages,Sweet & chilled,22,Available
Lassi,Beverages,Thick & creamy,4,Available
Lassi,Beverages,Sweet & chilled,1,Available
Fresh Lime Soda,Beverages,Refreshing,28,Available
Cold Coffee,Beverages,Refreshing,7,Available
Fresh Lime Soda,Beverages,Thick & creamy,30,Available
Lassi,Beverages,Cool & fizzy,11,Available
Lassi,Beverages,Sweet & chilled,30,Available
Mango Shake,Beverages,Sweet & chilled,7,Available
Lassi,Beverages,Spiced & aromatic,13,Available
Fresh Lime Soda,Beverages,Refreshing,25,Available
Lassi,Beverages,Spiced & aromatic,18,Available
Fresh Lime Soda,Beverages,Cool & fizzy,20,Available
Cold Coffee,Beverages,Thick & creamy,3,Available
Chocolate Brownie,Desserts,Sweet & syrupy,15,Available
Rasgulla,Desserts,Rich chocolate flavor,14,Available
Gulab Jamun,Desserts,Festive delight,14,Available
Gulab Jamun,Desserts,Festive delight,0,Out of Stock
Ice Cream Sundae,Desserts,Soft & spongy,24,Available
Kheer,Desserts,Soft & spongy,10,Available
Ice Cream Sundae,Desserts,Rich chocolate flavor,8,Available
Gulab Jamun,Desserts,Sweet & syrupy,4,Available
Kheer,Desserts,Soft & spongy,21,Available
Chocolate Brownie,Desserts,Rich chocolate flavor,1,Available
Kheer,Desserts,Soft & spongy,6,Available
Ice Cream Sundae,Desserts,Cold & creamy,1,Available
Gulab Jamun,Desserts,Cold & creamy,15,Available
Ice Cream Sundae,Desserts,Cold & creamy,28,Available
Ice Cream Sundae,Desserts,Rich chocolate flavor,7,Available
Gulab Jamun,Desserts,Rich chocolate flavor,0,Out of Stock
Gulab Jamun,Desserts,Sweet & syrupy,8,Available
Gulab Jamun,Desserts,Cold & creamy,11,Available
Rasgulla,Desserts,Soft & spongy,10,Available
Rasgulla,Desserts,Cold & creamy,10,Available
Rasgulla,Desserts,Rich chocolate flavor,11,Available
Gulab Jamun,Desserts,Cold & creamy,27,Available
Rasgulla,Desserts,Sweet & syrupy,3,Available
Rasgulla,Desserts,Soft & spongy,25,Available
Kheer,Desserts,Sweet & syrupy,13,Available
